Student ID,Q1,Q2,Q3,Bonus,Total Grade,Tag
Z146,32,22,28,0,82,
I650,36,22,30,0,88,
P983,31,19,29,0,79,
Q635,32,20,30,0,82,suspicious
U064,38,24,33,0,95,suspicious
A155,,,,,,absent
V336,0,0,-9,0,-9,
S758,,,,,,absent
J721,33,21,29,0,83,
C097,36,22,31,0,89,
K539,-5,0,0,0,-5,
S947,33,21,29,0,83,suspicious
K419,31,21,27,0,79,
H938,34,21,29,0,84,
K291,36,24,32,0,92,suspicious
Z597,-9,0,0,0,-9,
E164,0,-8,0,0,-8,
J174,29,17,24,0,70,
A076,,,,,,absent
I932,0,0,-10,0,-10,
M872,37,23,33,0,93,suspicious
B604,,,,,,absent
F121,36,23,33,0,92,
N464,25,17,22,0,64,
Q609,29,20,25,0,74,
M900,,,,,,absent
