Misalignment,WorkaroundType,WorkaroundQuality,WorkaroundWidget,WorkaroundWidgetCategory,RecordID,Participant,FormType,EditCount,EditType,AppearanceOrderInForm,AppearanceOrderInCategory,SaveTimeRatio
Outlier,Data adjustment,3,Number spinner,Controlled,A366,2160,conference,0,,1,1,2.34
Outlier,Data adjustment,3,Number spinner,Controlled,I393,2160,conference,0,,2,2,1.91
Outlier,Data adjustment,3,Number spinner,Controlled,K269,2160,conference,0,,3,3,1
Outlier,Data adjustment,3,Number spinner,Controlled,S066,2160,conference,0,,4,4,1.08
Outlier,Data adjustment,3,Number spinner,Controlled,V339,2160,conference,0,,5,5,0.95
Excess,Data adjustment,3,Combo box,Predetermined,U476,2160,conference,0,,6,1,1.13
Excess,Fallback,3,Text box,Open,U476,2160,conference,0,,6,1,1.13
Excess,Data adjustment,3,Combo box,Predetermined,O098,2160,conference,0,,7,2,1.28
Excess,Fallback,3,Text box,Open,O098,2160,conference,0,,7,2,1.28
Excess,Data adjustment,3,Combo box,Predetermined,Q054,2160,conference,0,,8,3,0.67
Excess,Fallback,3,Text box,Open,Q054,2160,conference,0,,8,3,0.67
Excess,Data adjustment,3,Combo box,Predetermined,W861,2160,conference,0,,9,4,0.5
Excess,Fallback,3,Text box,Open,W861,2160,conference,0,,9,4,0.5
Excess,Data adjustment,3,Combo box,Predetermined,J599,2160,conference,0,,10,5,0.43
Excess,Fallback,3,Text box,Open,J599,2160,conference,0,,10,5,0.43
Ambiguous,Data adjustment,2,Combo box,Predetermined,N383,2160,conference,0,,11,1,4.36
Ambiguous,Data adjustment,2,Radio button,Predetermined,N383,2160,conference,0,,11,1,4.36
Ambiguous,Fallback,3,Text box,Open,N383,2160,conference,0,,11,1,4.36
Ambiguous,Data adjustment,2,Combo box,Predetermined,V829,2160,conference,0,,12,2,1.52
Ambiguous,Data adjustment,2,Radio button,Predetermined,V829,2160,conference,0,,12,2,1.52
Ambiguous,Fallback,3,Text box,Open,V829,2160,conference,0,,12,2,1.52
Ambiguous,Data adjustment,2,Combo box,Predetermined,Q740,2160,conference,0,,13,3,0.56
Ambiguous,Data adjustment,2,Radio button,Predetermined,Q740,2160,conference,0,,13,3,0.56
Ambiguous,Fallback,3,Text box,Open,Q740,2160,conference,0,,13,3,0.56
Ambiguous,Data adjustment,2,Combo box,Predetermined,K743,2160,conference,0,,14,4,0.56
Ambiguous,Data adjustment,2,Radio button,Predetermined,K743,2160,conference,0,,14,4,0.56
Ambiguous,Fallback,3,Text box,Open,K743,2160,conference,0,,14,4,0.56
Ambiguous,Data adjustment,2,Combo box,Predetermined,N613,2160,conference,0,,15,5,0.5
Ambiguous,Data adjustment,2,Radio button,Predetermined,N613,2160,conference,0,,15,5,0.5
Ambiguous,Fallback,3,Text box,Open,N613,2160,conference,0,,15,5,0.5
Implicit,Fallback,3,Text box,Open,F149,2160,employee,0,,1,1,1.66
Implicit,Fallback,3,Text box,Open,B791,2160,employee,0,,2,2,0.92
Implicit,Fallback,3,Text box,Open,V373,2160,employee,0,,3,3,0.89
Implicit,Fallback,3,Text box,Open,F663,2160,employee,0,,4,4,1.11
Implicit,Fallback,3,Text box,Open,O373,2160,employee,0,,5,5,1.08
Explicit,Data adjustment,3,Combo box,Predetermined,B985,2160,employee,0,,6,1,1.37
Explicit,Fallback,3,Text box,Open,B985,2160,employee,0,,6,1,1.37
Explicit,Data adjustment,3,Combo box,Predetermined,N715,2160,employee,0,,7,2,1.16
Explicit,Fallback,3,Text box,Open,N715,2160,employee,0,,7,2,1.16
Explicit,Data adjustment,3,Combo box,Predetermined,U697,2160,employee,0,,8,3,0.95
Explicit,Fallback,3,Text box,Open,U697,2160,employee,0,,8,3,0.95
Explicit,Data adjustment,3,Combo box,Predetermined,D044,2160,employee,0,,9,4,0.79
Explicit,Fallback,3,Text box,Open,D044,2160,employee,0,,9,4,0.79
Explicit,Data adjustment,3,Combo box,Predetermined,M240,2160,employee,0,,10,5,0.87
Explicit,Fallback,3,Text box,Open,M240,2160,employee,0,,10,5,0.87
Ambiguous,Data adjustment,2,Text box,Open,G309,2160,employee,0,,11,1,1.08
Ambiguous,Data adjustment,2,Combo box,Predetermined,G309,2160,employee,0,,11,1,1.08
Ambiguous,Fallback,3,Text box,Open,G309,2160,employee,0,,11,1,1.08
Ambiguous,Data adjustment,2,Text box,Open,G687,2160,employee,0,,12,2,1.32
Ambiguous,Data adjustment,2,Combo box,Predetermined,G687,2160,employee,0,,12,2,1.32
Ambiguous,Fallback,3,Text box,Open,G687,2160,employee,0,,12,2,1.32
Ambiguous,Data adjustment,2,Text box,Open,D178,2160,employee,0,,13,3,0.82
Ambiguous,Data adjustment,2,Combo box,Predetermined,D178,2160,employee,0,,13,3,0.82
Ambiguous,Fallback,3,Text box,Open,D178,2160,employee,0,,13,3,0.82
Ambiguous,Data adjustment,2,Text box,Open,Y247,2160,employee,0,,14,4,0.89
Ambiguous,Data adjustment,2,Combo box,Predetermined,Y247,2160,employee,0,,14,4,0.89
Ambiguous,Fallback,3,Text box,Open,Y247,2160,employee,0,,14,4,0.89
Ambiguous,Data adjustment,2,Text box,Open,Y944,2160,employee,0,,15,5,1.05
Ambiguous,Data adjustment,2,Combo box,Predetermined,Y944,2160,employee,0,,15,5,1.05
Ambiguous,Fallback,3,Text box,Open,Y944,2160,employee,0,,15,5,1.05
Nonstandard,Functional adjustment,4,Text box,Open,T050,2160,predetermined,0,,1,1,0.27
Nonstandard,Functional adjustment,4,Text box,Open,M389,2160,predetermined,0,,2,2,0.3
Nonstandard,Functional adjustment,4,Text box,Open,T385,2160,predetermined,0,,3,3,0.18
Nonstandard,Functional adjustment,4,Text box,Open,G067,2160,predetermined,0,,4,4,0.21
Nonstandard,Functional adjustment,4,Text box,Open,Q938,2160,predetermined,0,,5,5,0.18
Excess,Functional adjustment,4,Text box,Open,O432,2160,predetermined,1,Not related,6,1,1
Excess,Functional adjustment,4,Checkbox,Predetermined,O432,2160,predetermined,1,Not related,6,1,1
Excess,Functional adjustment,4,Text box,Open,Y509,2160,predetermined,0,,7,2,1.27
Excess,Functional adjustment,4,Checkbox,Predetermined,Y509,2160,predetermined,0,,7,2,1.27
Excess,Functional adjustment,4,Text box,Open,G417,2160,predetermined,0,,8,3,0.97
Excess,Functional adjustment,4,Checkbox,Predetermined,G417,2160,predetermined,0,,8,3,0.97
Excess,Functional adjustment,4,Text box,Open,T489,2160,predetermined,0,,9,4,0.91
Excess,Functional adjustment,4,Checkbox,Predetermined,T489,2160,predetermined,0,,9,4,0.91
Excess,Functional adjustment,4,Text box,Open,O586,2160,predetermined,0,,10,5,1.06
Excess,Functional adjustment,4,Checkbox,Predetermined,O586,2160,predetermined,0,,10,5,1.06
Ambiguous,Functional adjustment,4,Slider,Controlled,D183,2160,predetermined,0,,11,1,2.12
Ambiguous,Functional adjustment,3,Text box,Open,D183,2160,predetermined,0,,11,1,2.12
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,D183,2160,predetermined,0,,11,1,2.12
Ambiguous,Functional adjustment,4,Slider,Controlled,B738,2160,predetermined,0,,12,2,1.18
Ambiguous,Functional adjustment,3,Text box,Open,B738,2160,predetermined,0,,12,2,1.18
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,B738,2160,predetermined,0,,12,2,1.18
Ambiguous,Functional adjustment,4,Slider,Controlled,N815,2160,predetermined,0,,13,3,0.97
Ambiguous,Functional adjustment,3,Text box,Open,N815,2160,predetermined,0,,13,3,0.97
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,N815,2160,predetermined,0,,13,3,0.97
Ambiguous,Functional adjustment,4,Slider,Controlled,Y408,2160,predetermined,0,,14,4,1.18
Ambiguous,Functional adjustment,3,Text box,Open,Y408,2160,predetermined,0,,14,4,1.18
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,Y408,2160,predetermined,0,,14,4,1.18
Ambiguous,Functional adjustment,4,Slider,Controlled,Y277,2160,predetermined,0,,15,5,1
Ambiguous,Functional adjustment,3,Text box,Open,Y277,2160,predetermined,0,,15,5,1
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,Y277,2160,predetermined,0,,15,5,1
Explicit,Fallback,3,Text box,Open,D264,2583,conference,0,,1,1,1.28
Explicit,Fallback,3,Text box,Open,L037,2583,conference,0,,2,2,1.71
Explicit,Fallback,3,Text box,Open,V653,2583,conference,0,,3,3,0.93
Explicit,Fallback,3,Text box,Open,F789,2583,conference,0,,4,4,0.9
Explicit,Fallback,3,Text box,Open,J707,2583,conference,1,Not related,5,5,0.91
Implicit,Data adjustment,3,Date picker,Controlled,N701,2583,conference,0,,6,1,1.09
Implicit,Data adjustment,4,Date picker,Controlled,K001,2583,conference,0,,7,2,1.32
Implicit,Data adjustment,4,Date picker,Controlled,S958,2583,conference,0,,8,3,0.79
Implicit,Data adjustment,3,Date picker,Controlled,G627,2583,conference,0,,9,4,1.13
Implicit,Data adjustment,4,Date picker,Controlled,O550,2583,conference,0,,10,5,0.81
Excess,Functional adjustment,4,Combo box,Predetermined,Y174,2583,conference,1,Not related,11,1,1.38
Excess,Functional adjustment,4,Combo box,Predetermined,T432,2583,conference,0,,12,2,0.84
Excess,Functional adjustment,4,Combo box,Predetermined,K512,2583,conference,0,,13,3,1
Excess,Functional adjustment,4,Combo box,Predetermined,R748,2583,conference,0,,14,4,0.78
Excess,Functional adjustment,4,Combo box,Predetermined,A620,2583,conference,0,,15,5,0.63
Nonstandard,Data adjustment,3,Date picker,Controlled,K715,2583,employee,0,,1,1,0.99
Nonstandard,Data adjustment,3,Date picker,Controlled,A995,2583,employee,0,,2,2,1.5
Nonstandard,Data adjustment,3,Date picker,Controlled,G377,2583,employee,0,,3,3,1.26
Nonstandard,Data adjustment,4,Date picker,Controlled,F495,2583,employee,0,,4,4,1.12
Nonstandard,Data adjustment,4,Date picker,Controlled,O151,2583,employee,0,,5,5,1.26
Implicit,Fallback,3,Text box,Open,U616,2583,employee,0,,6,1,2.2
Implicit,Fallback,3,Text box,Open,C098,2583,employee,0,,7,2,1.16
Implicit,Fallback,3,Text box,Open,H484,2583,employee,0,,8,3,1.49
Implicit,Fallback,3,Text box,Open,L417,2583,employee,0,,9,4,0.72
Implicit,Fallback,3,Text box,Open,L763,2583,employee,0,,10,5,1.3
Ambiguous,Data loss,1,Text box,Open,A339,2583,employee,0,,11,1,2.67
Ambiguous,Data loss,2,Combo box,Predetermined,A339,2583,employee,0,,11,1,2.67
Ambiguous,Fallback,3,Text box,Open,A339,2583,employee,0,,11,1,2.67
Ambiguous,Data loss,1,Text box,Open,G954,2583,employee,0,,12,2,2.22
Ambiguous,Data loss,2,Combo box,Predetermined,G954,2583,employee,0,,12,2,2.22
Ambiguous,Fallback,3,Text box,Open,G954,2583,employee,0,,12,2,2.22
Ambiguous,Data loss,1,Text box,Open,F619,2583,employee,0,,13,3,1.21
Ambiguous,Data loss,2,Combo box,Predetermined,F619,2583,employee,0,,13,3,1.21
Ambiguous,Fallback,3,Text box,Open,F619,2583,employee,0,,13,3,1.21
Ambiguous,Data loss,1,Text box,Open,I300,2583,employee,0,,14,4,1.63
Ambiguous,Data loss,2,Combo box,Predetermined,I300,2583,employee,0,,14,4,1.63
Ambiguous,Fallback,3,Text box,Open,I300,2583,employee,0,,14,4,1.63
Ambiguous,Data loss,1,Text box,Open,Q150,2583,employee,0,,15,5,1.04
Ambiguous,Data loss,2,Combo box,Predetermined,Q150,2583,employee,0,,15,5,1.04
Ambiguous,Fallback,3,Text box,Open,Q150,2583,employee,0,,15,5,1.04
Implicit,Data adjustment,4,Date picker,Controlled,F272,2794,conference,0,,1,1,1.47
Implicit,Data adjustment,3,Date picker,Controlled,P542,2794,conference,0,,2,2,1.09
Implicit,Data adjustment,4,Date picker,Controlled,X239,2794,conference,0,,3,3,0.92
Implicit,Data adjustment,3,Date picker,Controlled,O267,2794,conference,0,,4,4,1.11
Implicit,Data adjustment,3,Date picker,Controlled,B301,2794,conference,0,,5,5,0.85
Outlier,Data adjustment,3,Number spinner,Controlled,Y018,2794,conference,0,,6,1,1.96
Outlier,Data adjustment,3,Number spinner,Controlled,C720,2794,conference,0,,7,2,0.83
Outlier,Data adjustment,3,Number spinner,Controlled,C516,2794,conference,0,,8,3,0.71
Outlier,Data adjustment,3,Number spinner,Controlled,D915,2794,conference,0,,9,4,0.76
Outlier,Data adjustment,3,Number spinner,Controlled,X894,2794,conference,0,,10,5,0.57
Excess,Functional adjustment,4,Combo box,Predetermined,T217,2794,conference,0,,11,1,1.63
Excess,Functional adjustment,4,Combo box,Predetermined,P242,2794,conference,0,,12,2,0.64
Excess,Functional adjustment,4,Combo box,Predetermined,M899,2794,conference,0,,13,3,0.76
Excess,Functional adjustment,4,Combo box,Predetermined,Z638,2794,conference,0,,14,4,1.11
Excess,Functional adjustment,4,Combo box,Predetermined,R964,2794,conference,0,,15,5,0.64
Excess,Data adjustment,4,Text box,Open,R080,2794,employee,0,,1,1,2.22
Excess,Data adjustment,4,Text box,Open,O133,2794,employee,0,,2,2,1
Excess,Data adjustment,4,Text box,Open,P115,2794,employee,0,,3,3,0.98
Excess,Data adjustment,4,Text box,Open,D226,2794,employee,0,,4,4,0.84
Excess,Data adjustment,4,Text box,Open,M949,2794,employee,0,,5,5,1.2
Outlier,Data loss,2,Slider,Controlled,Y182,2794,employee,0,,6,1,1.23
Outlier,Data loss,2,Slider,Controlled,F944,2794,employee,0,,7,2,0.69
Outlier,Data loss,2,Slider,Controlled,C078,2794,employee,0,,8,3,0.52
Outlier,Data loss,2,Slider,Controlled,X974,2794,employee,0,,9,4,1.12
Outlier,Data loss,2,Slider,Controlled,B887,2794,employee,0,,10,5,0.75
Implicit,Fallback,3,Text box,Open,I163,2794,employee,0,,11,1,1.56
Implicit,Fallback,3,Text box,Open,D045,2794,employee,0,,12,2,0.69
Implicit,Fallback,3,Text box,Open,Y211,2794,employee,0,,13,3,0.72
Implicit,Fallback,3,Text box,Open,E135,2794,employee,0,,14,4,0.67
Implicit,Fallback,3,Text box,Open,N546,2794,employee,0,,15,5,0.52
Explicit,Functional adjustment,4,Text box,Open,P644,2794,open,0,,1,1,1.05
Explicit,Functional adjustment,4,Text box,Open,K135,2794,open,0,,2,2,1.25
Explicit,Functional adjustment,4,Text box,Open,L787,2794,open,0,,3,3,1.7
Explicit,Functional adjustment,4,Text box,Open,N900,2794,open,0,,4,4,1.4
Explicit,Functional adjustment,4,Text box,Open,E836,2794,open,0,,5,5,0.95
Excess,Functional adjustment,3,Checkbox,Predetermined,X319,2794,open,0,,6,1,1.5
Excess,Functional adjustment,3,Checkbox,Predetermined,P005,2794,open,0,,7,2,1.7
Excess,Functional adjustment,3,Checkbox,Predetermined,E056,2794,open,0,,8,3,0.9
Excess,Functional adjustment,3,Checkbox,Predetermined,P806,2794,open,0,,9,4,0.8
Excess,Functional adjustment,3,Checkbox,Predetermined,K198,2794,open,0,,10,5,0.6
Ambiguous,Functional adjustment,4,Text box,Open,X419,2794,open,0,,11,1,1.45
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,X419,2794,open,0,,11,1,1.45
Ambiguous,Functional adjustment,4,Text box,Open,T591,2794,open,0,,12,2,1.15
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,T591,2794,open,0,,12,2,1.15
Ambiguous,Functional adjustment,4,Text box,Open,Q668,2794,open,0,,13,3,2.4
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,Q668,2794,open,0,,13,3,2.4
Ambiguous,Functional adjustment,4,Text box,Open,P799,2794,open,0,,14,4,1.55
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,P799,2794,open,0,,14,4,1.55
Ambiguous,Functional adjustment,4,Text box,Open,P010,2794,open,0,,15,5,2
Ambiguous,Functional adjustment,3,Checkbox,Predetermined,P010,2794,open,0,,15,5,2
Explicit,Data adjustment,3,Slider,Controlled,C635,3610,predetermined,1,Not related,1,1,3.34
